electorate_shape,homophily,social_influence,n,ideology_sd_mean,ideology_sd_sd,coalition_gap_mean,coalition_gap_sd
single-peaked,0.0,0.0,10,0.2658407134406764,0.010114625094891744,0.36296336407806684,0.026855006278882227
single-peaked,0.0,0.05,10,0.04110287224723848,0.003882548361228852,0.01483650872863787,0.0046633428615222685
single-peaked,0.0,0.1,10,0.02783767676781303,0.0025787932464880815,0.002007175611115137,0.003218817133994836
single-peaked,0.0,0.2,10,0.02413727235959634,0.005097109554687759,0.0020175458494707055,0.0022889292223038107
single-peaked,0.0,0.4,10,0.01518550527581195,0.0028254986530023606,0.00010758917799117895,0.0022094162583546
single-peaked,0.25,0.0,10,0.2673838668994787,0.008586065825579123,0.37155108572392476,0.03291708014955614
single-peaked,0.25,0.05,10,0.04222292341623352,0.005574930192359719,0.014002195303994025,0.006010222607932886
single-peaked,0.25,0.1,10,0.029795844035868362,0.0058753415226892695,0.005428233865853516,0.004200485320460053
single-peaked,0.25,0.2,10,0.024365960845029264,0.00518230698514113,0.0005331671002592028,0.0022938995285293143
single-peaked,0.25,0.4,10,0.01897144274720383,0.008552157097529153,0.0006137908138929188,0.002745557678707248
single-peaked,0.5,0.0,10,0.2669117292672741,0.007110601889657121,0.37250633681043094,0.02384453591758632
single-peaked,0.5,0.05,10,0.04202134658294165,0.0043416909924108025,0.014312373688308202,0.0034108048870840446
single-peaked,0.5,0.1,10,0.027778755018236262,0.0015801415210828515,0.0019155851047465942,0.003954274223776717
single-peaked,0.5,0.2,10,0.021665812887766752,0.0032013809281780355,0.0013037014211126417,0.002623438382860183
single-peaked,0.5,0.4,10,0.021750909228760072,0.009494131675607887,0.0008856818084530926,0.001990939190360741
single-peaked,0.75,0.0,10,0.2659118649366674,0.008073048750065481,0.3622622520246973,0.018171038402598958
single-peaked,0.75,0.05,10,0.04440614743642579,0.006110295421388766,0.015968575765085005,0.004956768888208315
single-peaked,0.75,0.1,10,0.02895020781822465,0.005104629624423654,0.003767650457843322,0.0031169939758046803
single-peaked,0.75,0.2,10,0.024951931974449587,0.007755989263020818,0.001181378069773253,0.004067599710376494
single-peaked,0.75,0.4,10,0.023822890675608385,0.008422193771241883,0.0016429777344659836,0.004549974459709722
single-peaked,1.0,0.0,10,0.2630452654468433,0.0017234541484510502,0.3652485746781545,0.01961079302276185
single-peaked,1.0,0.05,10,0.043784371456580255,0.004320261886105078,0.01822164540166333,0.004770403188429004
single-peaked,1.0,0.1,10,0.031524119353509066,0.005707255490104814,0.002957755187860592,0.004300932521708798
single-peaked,1.0,0.2,10,0.025299718181229985,0.008945246861952035,0.002011797567499217,0.002437350424121099
single-peaked,1.0,0.4,10,0.02149485519328408,0.007391985221138777,0.0018352249202903473,0.002489809265659404
two-camp,0.0,0.0,10,0.43489105454924293,0.010106546207806932,0.7282984168205617,0.02834247447474958
two-camp,0.0,0.05,10,0.04904410149176451,0.0037251487977114817,0.026510808821923575,0.00682154543982463
two-camp,0.0,0.1,10,0.03253129706091967,0.009778194687353275,0.0023365663388141373,0.0023657642890035453
two-camp,0.0,0.2,10,0.026504334227092453,0.006293205846846026,0.0020328775025670017,0.002900019536753481
two-camp,0.0,0.4,10,0.016798399322033523,0.0052856458213883725,0.0009258800848923729,0.002480085986599153
two-camp,0.25,0.0,10,0.430890715611533,0.01170346828405953,0.7112488677627804,0.03534362741600692
two-camp,0.25,0.05,10,0.05145936838004135,0.004743773143628514,0.03010096648743495,0.006571211242950183
two-camp,0.25,0.1,10,0.02863610861260567,0.002660308867586277,0.0029034538103123782,0.0028303398527428207
two-camp,0.25,0.2,10,0.02885946678307879,0.010355481637154954,0.001977733967669972,0.004017557362439221
two-camp,0.25,0.4,10,0.021561585994677522,0.00945876115780655,-8.331373742049529e-05,0.001955071666726907
two-camp,0.5,0.0,10,0.43578252898231773,0.014674104423709177,0.729173042093317,0.03574376333083028
two-camp,0.5,0.05,10,0.05779312147490506,0.009325174837727181,0.03281764531945623,0.004656272333313036
two-camp,0.5,0.1,10,0.03202492890455243,0.009011016269927683,0.0039030795824827906,0.003866279881042084
two-camp,0.5,0.2,10,0.03604244701445812,0.010116220154462265,0.004369020968942159,0.0042754094559059215
two-camp,0.5,0.4,10,0.02737064437443354,0.014048385290685295,0.00260304415005262,0.002286088174860247
two-camp,0.75,0.0,10,0.44127294028637076,0.005570161102166592,0.7361283867247973,0.024754525410635504
two-camp,0.75,0.05,10,0.05582560846471528,0.006599318398012882,0.035439191149280305,0.0067231874198154795
two-camp,0.75,0.1,10,0.03802459362563219,0.00870462225143248,0.00804570094941839,0.004210989110665339
two-camp,0.75,0.2,10,0.029603383303813013,0.009179459256428598,0.002803035677060553,0.0038382371929502578
two-camp,0.75,0.4,10,0.03139046069950147,0.017541334446085494,0.0033646932060277454,0.004253121331002711
two-camp,1.0,0.0,10,0.43765089253180356,0.00782326145600209,0.7304599225222804,0.01999979943866366
two-camp,1.0,0.05,10,0.06032257375165608,0.010290110815245475,0.04596627392648376,0.006523662153351221
two-camp,1.0,0.1,10,0.035772051516509376,0.009885230680887322,0.009543410938054466,0.005157382456288012
two-camp,1.0,0.2,10,0.03437367152273092,0.011928055730510641,0.003784201168387595,0.003898884355025125
two-camp,1.0,0.4,10,0.0284913141389568,0.01565625277787442,0.0023588014043376994,0.0028827245118334672
